time,open,high,low,close,Volume,BBPower
2011-10-31,3.25,3.55,3.2,3.3,68.99404308,-0.3207572302637667
2011-11-01,3.32,3.33,3.32,3.33,38.7771206,-0.3620776259403713
2011-11-04,3.27,3.55,3.21,3.55,117.08103867,-0.26463796509174653
2011-11-05,3.21,3.21,3,3,103.512,-0.6682611129357827
2011-11-06,2.95,2.95,2.95,2.95,203.388,-0.838509525373528
2011-11-08,3.08,3.08,3.08,3.08,47.47212389,-0.49586530746302415
2011-11-09,3.09,3.3,3.09,3.3,58.86052015,-0.2578845492540207
2011-11-10,3.25,3.3,2.95,3.3,121.66777314,-0.3910438993605885
2011-11-11,3.3,3.3,3.3,3.3,65.434,-0.035180485166218745
2011-11-12,3.35,3.35,3.35,3.35,2.79,0.055559584143241914
2011-11-13,3.35,3.35,3.35,3.35,29.48955224,0.04762250069420748
2011-11-14,2.95,2.95,2.47,2.47,183.4,-0.9877521422621078
2011-11-15,2.99,3,2.5,2.5,97.3416118,-0.7066446933675214
2011-11-16,2.51,3,2.51,3,5.61666667,-0.6671240228864468
2011-11-17,3,3,2.5,2.99,17.01862876,-0.6489634481883826
2011-11-18,2.5,2.79,2.5,2.5,88.44,-0.6948258127328995
2011-11-19,2.5,2.5,2.43,2.43,48.87212355,-0.8941364109139136
2011-11-20,2.37,2.37,2.37,2.37,11,-0.9292597807833545
2011-11-21,2.45,3,2.25,2.25,290.52677579,-0.25222266924287506
2011-11-22,2.53,2.59,2.46,2.59,328.49334597,-0.40619085935103616
2011-11-24,2.54,3,2.54,3,9.1446088,0.006122120556255162
2011-11-25,2.5,15,2.5,2.75,179.78726599,11.970961817619646
2011-11-26,2.77,2.77,2.77,2.77,10.09025271,0.009395843673983606
2011-11-28,2.67,2.78,2.66,2.66,180.36714898,-0.06051784827944262
2011-11-29,2.69,3.23,2.69,2.72,62.46464882,0.42812755861762053
2011-11-30,3.19,3.19,3.19,3.19,14.53918495,0.7612521931008178
2011-12-01,3.46,3.48,3.3,3.42,233.78003348,0.9867875940864148
2011-12-02,3.45,3.45,3.04,3.04,131.75704022,0.6558179377883562
2011-12-03,2.93,2.93,2.93,2.93,0.5,0.02212966096144786
2011-12-05,2.82,2.99,2.82,2.93,207.3632656,-0.031031719175901973
2011-12-06,2.9,3.25,2.89,2.98,216.10928902,0.28197281213494163
2011-12-07,3.05,3.35,3.05,3.3,233.20920018,0.43597669611566436
2011-12-08,3.27,3.5,2.95,3.3,115.71772709,0.3951228823848556
2011-12-10,3.2,3.2,3,3.2,12.284375,0.0958196134727336
2011-12-11,3.17,3.37,3.17,3.27,157.77889484,0.3735596686909144
